epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.227,0.98952,2.24963,1.58308,0.77062,0.81652,0.84498,0.4708,1.39733,2.39536,2.30091,0.000414683,0.000414683,0.000414683
2,63.6993,1.00824,1.46526,1.56028,0.74139,0.84529,0.82644,0.42559,1.45273,1.94,2.50398,0.000823119,0.000823119,0.000823119
3,94.246,1.01539,1.2927,1.56857,0.88281,0.81955,0.87659,0.43796,1.56686,1.60422,2.42146,0.00122331,0.00122331,0.00122331
4,122.466,1.01302,1.18713,1.56451,0.85332,0.81114,0.82929,0.39998,1.68027,1.64686,2.96685,0.00121287,0.00121287,0.00121287
5,156.313,0.99183,1.05982,1.54586,0.88938,0.8978,0.89566,0.49268,1.4862,1.15861,2.33802,0.0012005,0.0012005,0.0012005
6,188.107,0.95969,0.98913,1.51542,0.82651,0.82844,0.85083,0.44382,1.53332,1.10423,2.42616,0.00118812,0.00118812,0.00118812
7,219.616,0.9171,0.91595,1.48462,0.89215,0.91616,0.90111,0.54529,1.31062,1.00095,2.05054,0.00117575,0.00117575,0.00117575
8,251.703,0.90537,0.87706,1.46753,0.93327,0.91685,0.90629,0.5991,1.20388,0.90243,1.93221,0.00116337,0.00116337,0.00116337
9,282.283,0.90182,0.85301,1.46735,0.91265,0.90943,0.90229,0.53544,1.34047,0.86364,2.10095,0.001151,0.001151,0.001151
10,313.074,0.88951,0.81772,1.45753,0.88013,0.91809,0.88376,0.51276,1.37595,0.86296,2.20336,0.00113863,0.00113863,0.00113863
11,344.129,0.87804,0.7971,1.4454,0.90875,0.86533,0.922,0.56163,1.25068,0.86644,2.02065,0.00112625,0.00112625,0.00112625
12,374.576,0.87194,0.78573,1.43646,0.91556,0.8942,0.89768,0.59688,1.14472,0.74761,1.91716,0.00111388,0.00111388,0.00111388
13,405.742,0.87124,0.76465,1.43896,0.91837,0.90091,0.90836,0.50211,1.45255,0.81032,2.2704,0.0011015,0.0011015,0.0011015
14,436.734,0.85256,0.74863,1.4206,0.93332,0.92065,0.90506,0.51021,1.35108,0.74762,2.12898,0.00108913,0.00108913,0.00108913
15,467.403,0.83736,0.70374,1.408,0.94244,0.95571,0.95501,0.67721,1.01596,0.6661,1.68864,0.00107675,0.00107675,0.00107675
16,498.335,0.83916,0.70743,1.42094,0.93075,0.92721,0.92263,0.60398,1.15557,0.71106,1.93241,0.00106437,0.00106437,0.00106437
17,529.328,0.82176,0.72088,1.39113,0.92706,0.9144,0.90268,0.48622,1.40271,0.8283,2.26138,0.001052,0.001052,0.001052
18,560.743,0.82254,0.68566,1.39755,0.94163,0.94758,0.93921,0.65308,1.09088,0.68197,1.746,0.00103962,0.00103962,0.00103962
19,593.833,0.80191,0.69066,1.38109,0.92893,0.96213,0.9382,0.66087,0.98751,0.61666,1.69751,0.00102725,0.00102725,0.00102725
20,624.472,0.78296,0.66647,1.35894,0.93574,0.95326,0.9206,0.62659,1.10325,0.60188,1.78199,0.00101488,0.00101488,0.00101488
21,655.36,0.77309,0.65143,1.36674,0.93911,0.94648,0.92364,0.62469,1.0255,0.6521,1.72522,0.0010025,0.0010025,0.0010025
22,686.57,0.79787,0.64318,1.37015,0.9494,0.96658,0.9508,0.64571,1.06344,0.62948,1.72392,0.000990125,0.000990125,0.000990125
23,717.411,0.7832,0.64178,1.35818,0.93642,0.94546,0.92781,0.65677,1.09982,0.64436,1.74251,0.00097775,0.00097775,0.00097775
24,748.622,0.78431,0.63877,1.35616,0.93859,0.94104,0.91923,0.64897,0.9808,0.58213,1.70002,0.000965375,0.000965375,0.000965375
25,779.938,0.76654,0.62945,1.35049,0.93128,0.9712,0.95042,0.67988,0.95268,0.57292,1.63707,0.000953,0.000953,0.000953
26,811.023,0.76132,0.6099,1.34991,0.94261,0.94958,0.94113,0.63189,1.00526,0.59082,1.75974,0.000940625,0.000940625,0.000940625
27,841.913,0.74159,0.61662,1.33811,0.94068,0.98288,0.95251,0.6975,0.97813,0.57168,1.62823,0.00092825,0.00092825,0.00092825
28,872.718,0.76879,0.61516,1.35179,0.94201,0.96052,0.93556,0.59744,1.09623,0.6319,1.81089,0.000915875,0.000915875,0.000915875
29,904.098,0.7304,0.57968,1.32458,0.94223,0.94864,0.93351,0.64391,1.0314,0.6,1.71283,0.0009035,0.0009035,0.0009035
30,935.119,0.73469,0.60112,1.32408,0.96489,0.96516,0.96209,0.7467,0.87293,0.52937,1.52151,0.000891125,0.000891125,0.000891125
31,966.183,0.7335,0.5884,1.32719,0.93417,0.96419,0.944,0.6766,0.98794,0.585,1.64503,0.00087875,0.00087875,0.00087875
32,997.165,0.72557,0.58058,1.32342,0.95564,0.96838,0.95896,0.70723,0.9407,0.60694,1.58337,0.000866375,0.000866375,0.000866375
33,1028.31,0.71646,0.59091,1.32105,0.96203,0.96658,0.95614,0.68913,0.94309,0.53126,1.67503,0.000854,0.000854,0.000854
34,1059.17,0.71172,0.57062,1.30901,0.94943,0.97745,0.94925,0.70716,0.88102,0.54617,1.55881,0.000841625,0.000841625,0.000841625
35,1089.94,0.71783,0.56958,1.31845,0.95695,0.95892,0.9503,0.69104,0.94371,0.55448,1.63094,0.00082925,0.00082925,0.00082925
36,1120.92,0.7028,0.55768,1.30169,0.93092,0.96104,0.94263,0.67171,0.97451,0.50647,1.64455,0.000816875,0.000816875,0.000816875
37,1152.17,0.714,0.56142,1.3093,0.94901,0.97745,0.95949,0.70708,0.91102,0.53715,1.59003,0.0008045,0.0008045,0.0008045
38,1184.27,0.70819,0.54876,1.30755,0.95996,0.9712,0.95432,0.71307,0.90941,0.54127,1.54967,0.000792125,0.000792125,0.000792125
39,1215.78,0.69461,0.54147,1.29735,0.93857,0.98288,0.96563,0.71574,0.91925,0.5292,1.57486,0.00077975,0.00077975,0.00077975
40,1246.45,0.6963,0.53962,1.29038,0.95235,0.96576,0.94386,0.70183,0.95388,0.52639,1.59937,0.000767375,0.000767375,0.000767375
41,1277.32,0.67973,0.53958,1.29353,0.94518,0.97002,0.95566,0.7342,0.84284,0.52266,1.48141,0.000755,0.000755,0.000755
42,1307.97,0.68524,0.53477,1.28583,0.95037,0.98288,0.96302,0.75447,0.83562,0.46024,1.49013,0.000742625,0.000742625,0.000742625
43,1338.57,0.6928,0.52634,1.28684,0.94958,0.96576,0.95329,0.71694,0.91272,0.48595,1.58658,0.00073025,0.00073025,0.00073025
44,1369.28,0.66628,0.52735,1.2826,0.96693,0.97061,0.96703,0.73069,0.85972,0.48634,1.52751,0.000717875,0.000717875,0.000717875
45,1400.12,0.68082,0.51337,1.27874,0.9487,0.96351,0.94665,0.70777,0.9072,0.51152,1.58222,0.0007055,0.0007055,0.0007055
46,1431.02,0.66486,0.50953,1.26834,0.95231,0.98288,0.97204,0.74755,0.80797,0.44246,1.48846,0.000693125,0.000693125,0.000693125
47,1461.78,0.67905,0.53207,1.27866,0.9283,0.95867,0.95135,0.70442,0.88236,0.48554,1.58749,0.00068075,0.00068075,0.00068075
48,1492.6,0.68463,0.52194,1.28208,0.9485,0.97557,0.96432,0.78077,0.75498,0.46595,1.39932,0.000668375,0.000668375,0.000668375
49,1523.78,0.66494,0.49463,1.25797,0.96247,0.97201,0.96437,0.69393,0.94332,0.49563,1.64376,0.000656,0.000656,0.000656
50,1554.7,0.64631,0.49915,1.25517,0.93817,0.95571,0.95658,0.77349,0.75008,0.46786,1.38587,0.000643625,0.000643625,0.000643625
51,1585.62,0.65536,0.49457,1.26269,0.96393,0.97201,0.96431,0.76417,0.77438,0.46508,1.41766,0.00063125,0.00063125,0.00063125
52,1616.51,0.6376,0.48841,1.26064,0.95591,0.98138,0.95823,0.74704,0.80289,0.47698,1.44685,0.000618875,0.000618875,0.000618875
